team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,1,1,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 3,1,1,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 4,1,2,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 5,1,2,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 6,1,3,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 7,1,3,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 8,1,4,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 9,1,4,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 10,1,5,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 11,1,5,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 12,1,6,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 13,1,6,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 14,1,7,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 15,1,7,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 16,2,1,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 17,2,1,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 18,2,2,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 19,2,2,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 20,2,3,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 21,2,3,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 22,2,4,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 23,2,4,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 24,2,5,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 3,2,5,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 4,2,6,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 5,2,6,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 6,2,7,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 7,2,7,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 8,3,1,9,11,2024,League 1,Venue 1 Field #1
