team1Name,team2Name,week,day,start,end,season,league,location
Brownburgh Pirates,Davidbury Chiefs,20,1,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Mooreview Eagles,20,1,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Jasonbury Bears,20,2,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Lake Amanda Grizzlies,20,2,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,New Scott Wildcats,20,3,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Garrettburgh Pirates,20,3,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,East Albert Jacks,20,4,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,New Jason Dolphins,20,4,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Rebeccachester Hawks,20,5,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Annaberg Jacks,20,5,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Vanessamouth Dolphins,20,6,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Justin Sabres,20,6,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,West Lauratown Robbers,20,7,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,North Richardhaven Dolphins,20,7,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Hallside Sox,21,1,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Zimmermanfort Americans,21,1,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,South Charles Rappers,21,2,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,South Heatherville Bulls,21,2,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Mullinsburgh Jacks,21,3,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Megan Bears,21,3,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,South Dean Bears,21,4,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Lake Leroy Rappers,21,4,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,West Stacie Mavericks,21,5,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Mooreview Eagles,21,5,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Jasonbury Bears,21,6,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Lake Amanda Grizzlies,21,6,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,New Scott Wildcats,21,7,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Garrettburgh Pirates,21,7,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,East Albert Jacks,22,1,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,New Jason Dolphins,22,1,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Port Rebeccachester Hawks,22,2,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Port Annaberg Jacks,22,2,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Vanessamouth Dolphins,22,3,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Port Justin Sabres,22,3,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,West Lauratown Robbers,22,4,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,North Richardhaven Dolphins,22,4,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Hallside Sox,22,5,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Zimmermanfort Americans,22,5,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,South Charles Rappers,22,6,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,South Heatherville Bulls,22,6,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Mullinsburgh Jacks,22,7,9,11,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Port Megan Bears,22,7,14,16,2024,Platinum League,Johnsonmouth Hub Field #1
New Anthony Bears,Port Danielstad Rappers,23,1,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,South Stephen Vikings,23,1,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Mcconnellbury Hawks,23,2,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,South Amanda Hornets,23,2,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Mariastad Bears,23,3,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Port Dannystad Pirates,23,3,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Porterchester Hornets,23,4,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Ashleyborough Robbers,23,4,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Johnsonburgh Vikings,23,5,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Port Donald Hawks,23,5,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Jessicaville Mavericks,23,6,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,New Franciscoport Pirates,23,6,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,North David Dolphins,23,7,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Suttonfort Chargers,23,7,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,New Jeffrey Pirates,24,1,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,West Jonathanburgh Dolphins,24,1,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Whiteberg Pirates,24,2,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,North Cynthiabury Chargers,24,2,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Jacksonborough Sox,24,3,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,East Jaimeville Eagles,24,3,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Torresbury Bears,24,4,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,New Richard Hornets,24,4,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Serranoland Pirates,24,5,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,North Antonio Bobcats,24,5,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,North Stacymouth Hornets,24,6,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Wilsonchester Westerners,24,6,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Kevintown Bears,24,7,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,Andrewbury Bulls,24,7,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,West Pamelaton Wildcats,25,1,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,East Julia Bucaneers,25,1,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
New Anthony Bears,East Heather Mavericks,25,2,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,South Stephen Vikings,25,2,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Mcconnellbury Hawks,25,3,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,South Amanda Hornets,25,3,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Mariastad Bears,25,4,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Port Dannystad Pirates,25,4,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Porterchester Hornets,25,5,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Ashleyborough Robbers,25,5,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Johnsonburgh Vikings,25,6,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Port Donald Hawks,25,6,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Jessicaville Mavericks,25,7,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,New Franciscoport Pirates,25,7,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,North David Dolphins,26,1,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Suttonfort Chargers,26,1,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,New Jeffrey Pirates,26,2,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,West Jonathanburgh Dolphins,26,2,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Whiteberg Pirates,26,3,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,North Cynthiabury Chargers,26,3,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Jacksonborough Sox,26,4,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,East Jaimeville Eagles,26,4,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Torresbury Bears,26,5,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,New Richard Hornets,26,5,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Serranoland Pirates,26,6,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,North Antonio Bobcats,26,6,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,North Stacymouth Hornets,26,7,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Wilsonchester Westerners,26,7,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Kevintown Bears,27,1,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,Andrewbury Bulls,27,1,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,West Pamelaton Wildcats,27,2,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,East Julia Bucaneers,27,2,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
Port Danielstad Rappers,East Heather Mavericks,27,3,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Mcconnellbury Hawks,27,3,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,South Amanda Hornets,27,4,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Mariastad Bears,27,4,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Port Dannystad Pirates,27,5,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Porterchester Hornets,27,5,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Ashleyborough Robbers,27,6,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Johnsonburgh Vikings,27,6,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Port Donald Hawks,27,7,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,Jessicaville Mavericks,27,7,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,New Franciscoport Pirates,28,1,9,11,2024,Obsidian League,Johnsonmouth Hub Field #1
South Stephen Vikings,North David Dolphins,28,1,14,16,2024,Obsidian League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Port Michelle Rappers,28,2,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Karenburgh Chiefs,28,2,14,16,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,North Nicholas Warriors,28,3,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Henryfort Jacks,28,3,14,16,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Judymouth Bulls,28,4,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,West Teresaport Bears,28,4,14,16,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,West Amanda Mavericks,28,5,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Cherylburgh Celtics,28,5,14,16,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,West Susan Eagles,28,6,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,New Markborough Bobcats,28,6,14,16,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,South Jonathan Eagles,28,7,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Jenningsland Eagles,28,7,14,16,2024,Diamond League,Johnsonmouth Hub Field #1
East Nicoleshire Jacks,Port Juliemouth Sabres,29,1,9,11,2024,Diamond League,Johnsonmouth Hub Field #1
