team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,12,1,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 3,12,1,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 4,12,2,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 5,12,2,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 6,12,3,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 7,12,3,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 8,12,4,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 9,12,4,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 10,12,5,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 11,12,5,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 12,12,6,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 13,12,6,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 14,12,7,9,11,2024,League 1,Venue 1 Field #1
Team 1,Team 15,12,7,14,16,2024,League 1,Venue 1 Field #1
Team 1,Team 16,13,1,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 3,13,1,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 4,13,2,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 5,13,2,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 6,13,3,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 7,13,3,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 8,13,4,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 9,13,4,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 10,13,5,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 11,13,5,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 12,13,6,9,11,2024,League 1,Venue 1 Field #1
Team 2,Team 13,13,6,14,16,2024,League 1,Venue 1 Field #1
Team 2,Team 14,13,7,9,11,2024,League 1,Venue 1 Field #1
