team1Name,team2Name,week,day,start,end,season,league,location
East Jamesberg Mavericks,New Jacqueline Vikings,23,1,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Jonathan Commandos,23,1,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,North Adrianside Commandos,23,2,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Gallegosstad Pirates,23,2,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,North Stevenberg Eagles,23,3,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Kentport Chiefs,23,3,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Vincent Grizzlies,23,4,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Patrickshire Hawks,23,4,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Riveraton Bears,23,5,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Janiceland Bears,23,5,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Kara Raptors,23,6,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Johntown Chiefs,23,6,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Donald Mavericks,23,7,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Robinsonberg Bears,23,7,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Port Victoriaberg Americans,24,1,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,East Jasonberg Hornets,24,1,14,16,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Eddieland Pirates,24,2,9,11,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Anthonychester Vikings,24,2,14,16,2024,Platinum League,South Kimberly Plaza Field #1
